,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
225,6.0,20.0,5.99999999998243,0.007834172546563524,0.2091171584336866,0.37602449888449563
226,6.0,20.0,7.0,-0.3085582198196316,3.4226843581564026e-11,-8.171241461241152e-14
227,6.0,20.0,8.0,-0.03342638427062637,-3.907985046680551e-13,1.2301271112846734e-11
228,6.0,20.0,9.0,-0.004445583221881465,3.552713678800501e-15,-1.6682175640880814e-09
229,6.0,20.0,10.0,-0.0018875504542073336,0.0,-2.133759835487581e-11
230,6.0,30.0,6.0,0.2753516811255208,3.2667202276570606e-12,3.567741657661827e-10
231,6.0,30.0,7.0,-0.2436974028631097,-9.254819133275305e-13,3.375077994860476e-14
232,6.0,30.0,8.0,-0.02650348529828492,9.592326932761353e-14,7.468869966942293e-11
233,6.0,30.0,9.0,-0.0035874805355898564,0.0,-4.6353498817097716e-10
234,6.0,30.0,10.0,-0.0035138025320728536,0.0,-4.479971948967432e-12
235,6.0,40.0,6.0,0.2258649741812712,5.240252676230739e-13,1.0749445777946676e-09
236,6.0,40.0,7.000000000000001,-0.1983670875965999,4.618527782440651e-12,-1.4086509736443986e-12
237,6.0,40.0,8.0,-0.021290202510012922,3.4638958368304884e-13,3.126388037344441e-13
238,6.0,40.0,9.0,-0.003175286722165246,0.0,-3.729443420752432e-10
239,6.0,40.0,10.0,-0.006885265751212655,0.0,-7.533529355896462e-12
240,6.0,50.0,5.999999999999999,0.19228925767425042,1.0658141036401503e-14,4.5200643228326953e-10
241,6.0,50.0,6.999999999999992,-0.16561827915452804,9.743317264110374e-12,-3.552713678800501e-14
242,6.0,50.0,8.0,-0.01731560841349923,-2.753353101070388e-13,3.6770586575585185e-13
243,6.0,50.0,9.0,-0.0032742280880834534,0.0,-2.000319909711834e-10
244,6.0,50.0,10.0,-0.013287404285670962,-1.7763568394002505e-15,-6.163958232718869e-13
245,6.0,60.0,6.000000000000002,0.17157850579600348,-2.0836665726164938e-12,-1.9687362851072976e-11
246,6.0,60.0,6.999999999999995,-0.1413297733143466,3.4567904094728874e-12,0.0
247,6.0,60.0,7.999999999999998,-0.0142905743617041,-1.2434497875801753e-14,1.2206200494802033e-09
248,6.0,60.0,9.0,-0.004055171875784218,0.0,-2.4082069671749196e-11
249,6.0,60.0,10.0,-0.02463310063042,0.0,-1.801225835151854e-12
250,6.0,70.0,5.999999999999998,0.1630960476635238,-5.169198402654729e-13,1.6987833362236415e-10
251,6.0,70.0,6.999999999999995,-0.1229576337975209,2.2311041902867146e-12,-3.552713678800501e-15
252,6.0,70.0,8.0,-0.012035866300506822,1.7763568394002505e-14,2.3170265706085047e-10
253,6.0,70.0,9.0,-0.005825353275714452,0.0,-1.2422063377925951e-11
254,6.0,70.0,10.000000000000002,-0.04338925166100825,-1.7763568394002505e-15,-8.490985692333197e-13
255,6.0,80.0,6.0,0.16788166904451587,8.881784197001252e-15,2.3785773350937234e-10
256,6.0,80.0,7.0,-0.1088769116346883,1.1723955140041653e-12,-4.440892098500626e-14
257,6.0,80.0,8.0,-0.010450039366128133,1.7763568394002505e-15,8.419931418757187e-13
258,6.0,80.0,9.0,-0.009062499470852522,0.0,-1.9660717498481972e-11
259,6.0,80.0,10.0,-0.07202885367840202,7.105427357601002e-15,-1.29671917648011e-09
260,6.0,90.0,5.999999999999999,0.187762401894821,2.6645352591003757e-14,1.2679457483955048e-10
261,6.0,90.0,6.9999999999999885,-0.09801978796241857,1.0611955758577096e-11,1.7763568394002505e-15
262,6.0,90.0,8.0,-0.0094959562374054,1.7763568394002505e-15,-1.5351986348832725e-10
263,6.0,90.0,9.0,-0.014438066159524436,0.0,-4.689937327384541e-11
264,6.0,90.0,10.0,-0.11184770093339653,-1.7763568394002505e-15,-6.750155989720952e-13
